"scientific_name","match_name","match_status","accepted_plant_name_id","ipni_id","accepted_taxon_name","accepted_family_name","accepted_genus_name","accepted_taxon_authors"
"Capparis lanceolaris","Capparis lanceolaris","Accepted",2697283,"150885-3","Capparis lanceolaris","Capparaceae","Capparis","DC."
"Carolus chlorocarpus","Carolus chlorocarpus","Accepted",2701174,"60442926-2","Carolus chlorocarpus","Malpighiaceae","Carolus","(A.Juss.) W.R.Anderson"
"Cayaponia ophthalmica","Cayaponia ophthalmica","Accepted",2706444,"320916-2","Cayaponia ophthalmica","Cucurbitaceae","Cayaponia","R.E.Schult."
"Celastrus hindsii","Celastrus hindsii","Accepted",2707528,"160316-1","Celastrus hindsii","Celastraceae","Celastrus","Benth."
"Celastrus kusanoi","Celastrus kusanoi","Accepted",2707552,"160340-1","Celastrus kusanoi","Celastraceae","Celastrus","Hayata"
"Celastrus paniculatus","Celastrus paniculatus","Accepted",2707638,"160439-1","Celastrus paniculatus","Celastraceae","Celastrus","Willd."
"Celtis iguanaea","Celtis iguanaea","Accepted",2708300,"1213898-2","Celtis iguanaea","Cannabaceae","Celtis","(Jacq.) Sarg."
"Chamissoa altissima","Chamissoa altissima","Accepted",2715817,"60077-1","Chamissoa altissima","Amaranthaceae","Chamissoa","(Jacq.) Kunth"
"Cheiloclinium anomalum","Cheiloclinium anomalum","Accepted",2716138,"430947-1","Cheiloclinium anomalum","Celastraceae","Cheiloclinium","Miers"
"Cheiloclinium hippocrateoides","Cheiloclinium hippocrateoides","Accepted",2716146,"55849-2","Cheiloclinium hippocrateoides","Celastraceae","Cheiloclinium","(Peyr.) A.C.Sm."
"Cheiloclinium klugii","Cheiloclinium klugii","Accepted",2716148,"55851-2","Cheiloclinium klugii","Celastraceae","Cheiloclinium","A.C.Sm."
"Chiococca alba","Chiococca alba","Accepted",39067,"56535-2","Chiococca alba","Rubiaceae","Chiococca","(L.) Hitchc."
"Chondrodendron tomentosum","Chondrodendron tomentosum","Accepted",2719336,"580301-1","Chondrodendron tomentosum","Menispermaceae","Chondrodendron","Ruiz & Pav."
"Cissampelos pareira","Cissampelos pareira","Accepted",2722039,"59219-2","Cissampelos pareira","Menispermaceae","Cissampelos","L."
"Cissus adnata","Cissus adnata","Accepted",2722130,"67492-1","Cissus adnata","Vitaceae","Cissus","Roxb."
"Cissus alata","Cissus alata","Accepted",2722134,"311226-2","Cissus alata","Vitaceae","Cissus","Jacq."
"Cissus barbeyana","Cissus barbeyana","Accepted",2722209,"67532-1","Cissus barbeyana","Vitaceae","Cissus","De Wild. & T.Durand"
"Cissus biformifolia","Cissus biformifolia","Accepted",2722221,"59255-2","Cissus biformifolia","Vitaceae","Cissus","Standl."
"Cissus brevipes","Cissus brevipes","Accepted",2722242,"59258-2","Cissus brevipes","Vitaceae","Cissus","C.V.Morton & Standl."
"Cissus dinklagei","Cissus dinklagei","Accepted",2722360,"869838-1","Cissus dinklagei","Vitaceae","Cissus","Gilg & M.Brandt"
"Cissus erosa","Cissus erosa","Accepted",2722398,"67646-1","Cissus erosa","Vitaceae","Cissus","Rich."
"Cissus fuliginea","Cissus fuliginea","Accepted",2722433,"67664-1","Cissus fuliginea","Vitaceae","Cissus","Kunth"
"Cissus hastata","Cissus hastata","Accepted",2722488,"67697-1","Cissus hastata","Vitaceae","Cissus","Miq."
"Cissus hypoglauca","Cissus hypoglauca","Accepted",2722526,"67728-1","Cissus hypoglauca","Vitaceae","Cissus","A.Gray"
"Cissus microcarpa","Cissus microcarpa","Accepted",2722650,"316225-2","Cissus microcarpa","Vitaceae","Cissus","Vahl"
"Cissus neei","Cissus neei","Accepted",2722679,"59315-2","Cissus neei","Vitaceae","Cissus","Croat"
"Cissus producta","Cissus producta","Accepted",2722799,"67881-1","Cissus producta","Vitaceae","Cissus","Afzel."
"Cissus repanda","Cissus repanda","Accepted",2722846,"67904-1","Cissus repanda","Vitaceae","Cissus","(Wight & Arn.) Vahl"
"Cissus repens","Cissus repens","Accepted",2722848,"67906-1","Cissus repens","Vitaceae","Cissus","Lam."
"Cissus striata","Cissus striata","Synonym",3001804,"77150211-1","Clematicissus striata","Vitaceae","Clematicissus","(Ruiz & Pav.) Lombardi"
"Cissus tweedieana","Cissus tweedieana","Synonym",3001789,"77150213-1","Clematicissus tweedieana","Vitaceae","Clematicissus","(Baker) Lombardi"
"Cissus ulmifolia","Cissus ulmifolia","Illegitimate",3273147,"77214674-1","Cissus lombardiana","Vitaceae","Cissus","Kottaim."
"Cissus verticillata","Cissus verticillata","Accepted",2723104,"980361-1","Cissus verticillata","Vitaceae","Cissus","(L.) Nicolson & C.E.Jarvis"
"Clematis dioica","Clematis dioica","Accepted",2725892,"60325-2","Clematis dioica","Ranunculaceae","Clematis","L."
"Clematis mauritiana","Clematis mauritiana","Accepted",2726323,"709881-1","Clematis mauritiana","Ranunculaceae","Clematis","Lam."
"Clematis smilacifolia","Clematis smilacifolia","Accepted",2726718,"710071-1","Clematis smilacifolia","Ranunculaceae","Clematis","Wall."
"Clitandra cymulosa","Clitandra cymulosa","Accepted",43763,"78049-1","Clitandra cymulosa","Apocynaceae","Clitandra","Benth."
"Cnestidium rufescens","Cnestidium rufescens","Accepted",2728834,"264202-1","Cnestidium rufescens","Connaraceae","Cnestidium","Planch."
"Cnestis corniculata","Cnestis corniculata","Accepted",2728852,"264219-1","Cnestis corniculata","Connaraceae","Cnestis","Lam."
"Cnestis polyphylla","Cnestis polyphylla","Accepted",2728900,"264269-1","Cnestis polyphylla","Connaraceae","Cnestis","Lam."
"Coccoloba excelsa","Coccoloba excelsa","Accepted",2729253,"693654-1","Coccoloba excelsa","Polygonaceae","Coccoloba","Benth."
"Combretum assimile","Combretum assimile","Accepted",2732414,"169923-1","Combretum assimile","Combretaceae","Combretum","Eichler"
"Combretum bracteatum","Combretum bracteatum","Accepted",2732448,"169958-1","Combretum bracteatum","Combretaceae","Combretum","(M.A.Lawson) Engl. & Diels"
"Combretum carringtonianum","Combretum carringtonianum","Accepted",2732478,"169990-1","Combretum carringtonianum","Combretaceae","Combretum","Exell & J.G.García"
"Combretum decandrum","Combretum decandrum","Accepted",2732534,"170030-1","Combretum decandrum","Combretaceae","Combretum","Jacq."
"Combretum falcatum","Combretum falcatum","Accepted",2732585,"971486-1","Combretum falcatum","Combretaceae","Combretum","(Welw. ex Hiern) Jongkind"
"Combretum fruticosum","Combretum fruticosum","Accepted",2732604,"63788-2","Combretum fruticosum","Combretaceae","Combretum","(Loefl.) Stuntz"
"Combretum oyemense","Combretum oyemense","Accepted",2732887,"170342-1","Combretum oyemense","Combretaceae","Combretum","Exell"
"Combretum paraguariense","Combretum paraguariense","Accepted",2606743,"77086769-1","Combretum paraguariense","Combretaceae","Combretum","(Eichler) Stace"
"Combretum pavonii","Combretum pavonii","Accepted",2732905,"170358-1","Combretum pavonii","Combretaceae","Combretum","G.Don"
"Combretum racemosum","Combretum racemosum","Accepted",2732972,"170415-1","Combretum racemosum","Combretaceae","Combretum","P.Beauv."
"Combretum sordidum","Combretum sordidum","Accepted",2733033,"170474-1","Combretum sordidum","Combretaceae","Combretum","Exell"
"Combretum spinosum","Combretum spinosum","Accepted",2733036,"170476-1","Combretum spinosum","Combretaceae","Combretum","Bonpl."
"Combretum vernicosum","Combretum vernicosum","Accepted",2733126,"63838-2","Combretum vernicosum","Combretaceae","Combretum","Rusby"
"Connarus fasciculatus","Connarus fasciculatus","Accepted",2734270,"264345-1","Connarus fasciculatus","Connaraceae","Connarus","(DC.) Planch."
"Connarus griffonianus","Connarus griffonianus","Accepted",2734297,"264370-1","Connarus griffonianus","Connaraceae","Connarus","Baill."
"Connarus panamensis","Connarus panamensis","Accepted",2734380,"264457-1","Connarus panamensis","Connaraceae","Connarus","Griseb."
"Connarus pickeringii","Connarus pickeringii","Accepted",2734396,"264468-1","Connarus pickeringii","Connaraceae","Connarus","A.Gray"
"Connarus semidecandrus","Connarus semidecandrus","Accepted",2734439,"264510-1","Connarus semidecandrus","Connaraceae","Connarus","Jack"
"Corynostylis arborea","Corynostylis arborea","Synonym",3001796,"77144891-1","Calyptrion arboreum","Violaceae","Calyptrion","(L.) Paula-Souza"
"Critonia billbergiana","Critonia billbergiana","Accepted",3132485,"69540-2","Critonia billbergiana","Asteraceae","Critonia","(Beurl.) R.M.King & H.Rob."
"Critoniopsis woytkowskii","Critoniopsis woytkowskii","Accepted",3053874,"982361-1","Critoniopsis woytkowskii","Asteraceae","Critoniopsis","(S.B.Jones) H.Rob."
"Curarea toxicofera","Curarea toxicofera","Accepted",2748838,"72709-2","Curarea toxicofera","Menispermaceae","Curarea","(Wedd.) Barneby & Krukoff"
"Cuspidaria floribunda","Cuspidaria floribunda","Accepted",320563,"73040-2","Cuspidaria floribunda","Bignoniaceae","Cuspidaria","(DC.) A.H.Gentry"
"Cuspidaria inaequalis","Cuspidaria inaequalis","Accepted",321005,"77100463-1","Cuspidaria inaequalis","Bignoniaceae","Cuspidaria","(DC. ex Splitg.) L.G.Lohmann"
"Cuspidaria lateriflora","Cuspidaria lateriflora","Accepted",320566,"109374-1","Cuspidaria lateriflora","Bignoniaceae","Cuspidaria","(Mart.) DC."
"Cuspidaria weberbaueri","Cuspidaria weberbaueri","Accepted",320582,"73056-2","Cuspidaria weberbaueri","Bignoniaceae","Cuspidaria","(Sprague) A.H.Gentry"
"Cyclocotyla congolensis","Cyclocotyla congolensis","Accepted",52685,"78194-1","Cyclocotyla congolensis","Apocynaceae","Cyclocotyla","Stapf"
"Dalbergia brownei","Dalbergia brownei","Accepted",2755469,"75919-2","Dalbergia brownei","Fabaceae","Dalbergia","(Jacq.) Schinz"
"Dalbergia darienensis","Dalbergia darienensis","Accepted",2755522,"899681-1","Dalbergia darienensis","Fabaceae","Dalbergia","Rudd"
